hospital,counts,full_address,coordinates
St. Luke's Medical Center - Global City,96,"St. Luke's Medical Center Global City, 32nd Street, Fort Bonifacio, Taguig, Metro Manila, 1634, Philippines","(14.555140900000001, 121.04813809093798)"
Makati Medical Center,90,"Makati Medical Center, Amorsolo, Legazpi, San Lorenzo, Makati, Makati 1st District, Makati, Metro Manila, 1229, Philippines","(14.5593106, 121.01480235528001)"
Cardinal Santos Medical Center,78,"Cardinal Santos Medical Center, 10, Wilson, The Alvendia by Rockwell, Greenhills, Addition Hills, 2nd District, San Juan, Metro Manila, 1502, Philippines","(14.597435, 121.04599574684656)"
Lung Center Of The Philippines,72,"Lung Center of the Philippines, Quezon Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines","(14.64748145, 121.04587919677965)"
St. Luke's Medical Center - Quezon City,58,"St. Luke's Medical Center Quezon City, 279, E. Rodriguez Sr. Avenue, Damayang Lagi, Kalusugan, San Juan, 4th District, Quezon City, Metro Manila, 1112, Philippines","(14.6230026, 121.0231956)"
Asian Hospital And Medical Center,58,"Asian Hospital and Medical Center, 2205, Civic Drive, Alabang, Muntinlupa, Metro Manila, 1781, Philippines","(14.41318165, 121.04355553786556)"
The Medical City - Ortigas,48,"The Medical City, Ortigas Avenue, Ugong, Pasig, Metro Manila, 1604, Philippines","(14.589964, 121.06906339610711)"
Southern Philippines Medical Center,39,"Southern Philippines Medical Center, J. P. Laurel Avenue, De Jesus Subdivision, Vita Residences, Davao City, Davao Region, 8000, Philippines","(7.09978495, 125.61950634691405)"
Chinese General Hospital & Medical Center,32,"Chinese General Hospital and Medical Center, Ferdinand Blumentritt, Paang Bundok, La Loma, 4th District, Manila, Metro Manila, 1014, Philippines","(14.6263106, 120.98779066908772)"
Manila Doctors Hospital,28,"Manila Doctors Hospital, Kalaw Avenue, Ermita, Fifth District, Manila, Metro Manila, 1000, Philippines","(14.58219355, 120.98289979408534)"
Research Institute For Tropical Medicine,25,"Research Institute for Tropical Medicine, Corporate Woods Avenue, Alabang, Muntinlupa, Metro Manila, 1781, Philippines","(14.41000685, 121.03714354240603)"
University Of The East Ramon Magsaysay Memorial Medical Center,22,"University of the East - Ramon Magsaysay Memorial Medical Center, Aurora Boulevard, Pipeline, Doña Imelda, Galas, 4th District, Quezon City, Metro Manila, 1016, Philippines","(14.6066064, 121.02067860955255)"
San Lazaro Hospital,21,"San Lazaro Hospital, Quiricada Street, Barangay 325, Santa Cruz, Third District, Manila, Metro Manila, 1003, Philippines","(14.614117, 120.98058146200714)"
East Avenue Medical Center,15,"East Avenue Medical Center, East Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines","(14.6419083, 121.04793075343855)"
Quirino Memorial Medical Center,14,"Quirino Memorial Medical Center, Katipunan Avenue, Escopa II, Project 4, 3rd District, Quezon City, Metro Manila, 1109, Philippines","(14.6225632, 121.07266242678826)"
Victor R. Potenciano Medical Center,14,"Victor R. Potenciano Medical Center, 163, Sierra Madre, Highway Hills, Mandaluyong, Metro Manila, 1550, Philippines","(14.57698865, 121.05002705834283)"
Philippine Heart Center,12,"Philippine Heart Center, East Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines","(14.64403855, 121.04842725955206)"
Philippine General Hospital,11,"Philippine General Hospital, Apacible, Barangay 676, Ermita, Fifth District, Manila, Metro Manila, 1000, Philippines","(14.5780333, 120.9855392067257)"
University of Santo Tomas - Legazpi Hospital,11,"University of Santo Tomas - Legazpi Hospital, Washington Drive, Legazpi, Albay, Bicol, 4500, Philippines","(13.1464493, 123.73497017946221)"
Metropolitan Medical Center,11,"Metropolitan Medical Center, Mayhaligue, San Barbara, Tondo, 2nd District, Manila, Metro Manila, 1003, Philippines","(14.609395, 120.9784765)"
Chong Hua Hospital,11,"Chong Hua Hospital, M. Cui Street, Sacred Village, Sambag II, Cebu City, Cebu, Central Visayas, 6000, Philippines","(10.310072550000001, 123.8913431005355)"
Rizal Medical Center,11,"Rizal Medical Center, 425, Pasig Boulevard, Green Valley Subdivision, Bagong Ilog, Pasig, Metro Manila, 1215, Philippines","(14.563910700000001, 121.06612846687781)"
Capitol Medical Center,11,"Capitol Medical Center, Scout Magbanua, Heroes Hill, Paligsahan, Scout Area, 4th District, Quezon City, Metro Manila, 1103, Philippines","(14.634329, 121.0226836)"
Cagayan Valley Medical Center,10,"Cagayan Valley Medical Center, Dalan na Pagayaya, Cagayan Valley Regional Government Center, Caggay, Tuguegarao, Cagayan, Cagayan Valley, 3500, Philippines","(17.6562367, 121.74813210188074)"
Davao Regional Medical Center,10,"Davao Regional Medical Center, DRH - EPark Road, Gemini Village, Apokon, Davao del Norte, Davao Region, 8100, Philippines","(7.42072955, 125.82878036991721)"
Veterans Memorial Medical Center,9,"Veterans Memorial Medical Center, North Avenue, Bagong Pag-asa, Bago Bantay, 1st District, Quezon City, Metro Manila, 1100, Philippines","(14.656373349999999, 121.03981246339595)"
Mandaluyong City Medical Center,9,"Mandaluyong City Medical Center, Boni Avenue, City Hall Complex, Plainview, Mandaluyong, Metro Manila, 1551, Philippines","(14.576249350000001, 121.03549848726468)"
Marikina Valley Medical Center,8,"Marikina Valley Medical Center, Sumulong Highway, Santo Niño, Marikina, Rizal, Metro Manila, 1800, Philippines","(14.6349616, 121.1039083943592)"
New Era General Hospital,7,"New Era General Hospital, Commonwealth Avenue Bus/PUJ, New Era, 6th District, Quezon City, Metro Manila, 1107, Philippines","(14.66416375, 121.06671201971747)"
Diliman Doctors Hospital,7,"Diliman Doctors Hospital, 251, Commonwealth Avenue, Premiere Court, Matandang Balara, 3rd District, Quezon City, Metro Manila, 1119, Philippines","(14.66820725, 121.076109265676)"
"Our Lady Of Lourdes Hospital, Manila",6,"Our Lady of Lourdes Hospital, Sanchez, Illumina Residences Manila, Santa Mesa, Sixth District, Manila, Metro Manila, 1016, Philippines","(14.595017649999999, 121.02244418095599)"
